brand,milage,fuel_type,transmission,price,horsepower,engine_displacement,age
40,46000,4,42,50000,3.8,400.0,10
14,148949,4,33,3900,3.5,263.0,26
4,96273,4,33,13500,2.0,200.0,9
14,95000,4,33,12000,4.0,210.0,17
9,13465,4,27,36500,6.2,455.0,7
14,92671,1,15,32300,6.7,440.0,8
9,20800,4,15,19000,1.4,138.0,4
26,97724,5,33,12995,3.5,306.0,13
34,156350,4,33,8950,4.7,402.0,10
5,12088,4,27,37500,3.0,503.0,3
41,61802,4,27,45900,5.7,395.0,5
5,9000,4,27,50000,3.0,503.0,2
37,227010,4,9,4500,4.0,236.0,16
34,46000,4,21,54000,2.0,188.0,6
25,55900,4,42,42000,3.0,340.0,5
9,98527,4,33,5990,5.3,300.0,17
26,119000,4,15,13000,3.5,306.0,14
30,125800,4,42,22500,4.2,394.0,21
29,63250,4,7,14995,1.6,115.0,23
15,169000,4,33,12500,3.5,270.0,13
15,93000,4,33,30000,5.3,355.0,8
22,17000,4,27,56000,3.6,285.0,3
11,95000,4,27,17900,5.7,370.0,10
14,44460,4,3,30990,2.7,325.0,4
5,27300,4,27,30000,4.4,445.0,5
14,51351,4,16,34084,3.0,331.6983232435877,5
25,59271,4,27,35750,3.0,380.0,5
17,19500,4,33,28500,3.5,280.0,4
34,15000,5,31,35899,3.0,429.0,2
32,72000,4,42,18900,2.0,155.0,9
50,136000,4,33,9999,2.0,200.0,12
9,59500,4,42,24995,3.6,323.0,7
8,66000,4,33,14900,2.5,202.0,8
49,61454,4,27,31000,3.5,295.0,4
5,239000,4,9,6000,2.5,170.0,24
49,71000,4,33,15500,4.0,270.0,8
25,65680,4,42,34900,2.0,247.0,8
34,51133,4,32,39848,2.0,331.6983232435877,6
5,24650,4,33,50000,4.4,445.0,6
5,41000,4,27,50000,4.4,600.0,5
46,92861,4,33,9500,2.0,200.0,11
34,79876,4,42,40999,5.5,536.0,13
9,66840,4,33,10500,5.3,303.0,20
9,14700,4,19,27000,6.2,455.0,2
34,1500,4,31,46900,3.0,385.0,3
14,33818,4,34,45861,2.7,331.6983232435877,3
19,113000,4,15,11250,2.4,185.0,9
34,93000,4,33,16500,4.6,335.0,12
22,17000,4,27,39500,3.6,293.0,2
34,41500,4,31,41500,4.0,603.0,8
24,24781,4,28,38532,4.0,331.6983232435877,3
9,153843,4,33,6750,5.7,340.0,16
50,50000,4,33,53000,2.8,174.0,21
51,89700,4,15,16500,3.2,240.0,11
47,99982,4,39,12000,2.0,150.0,11
13,9005,4,24,44999,3.9,331.6983232435877,5
8,152000,4,33,10600,3.6,304.0,12
30,76000,4,33,29000,3.0,404.0,9
2,26500,4,27,47500,2.9,505.0,5
22,8400,4,27,53000,3.6,285.0,2
8,93000,4,33,20500,6.2,403.0,7
14,35999,4,3,35999,5.0,460.0,4
25,49208,4,33,25000,3.0,340.0,6
37,110000,4,42,6000,3.5,290.0,12
19,60000,4,33,9500,3.8,344.0,11
22,161900,2,33,9950,4.7,235.0,17
5,220450,4,9,3850,3.5,263.0,16
34,76857,4,21,14900,4.7,429.0,12
15,13500,4,3,37500,6.2,420.0,2
26,110000,4,15,17500,5.0,467.0,9
34,171000,4,33,4750,6.2,518.0,15
27,71964,4,15,30000,2.0,240.0,8
41,32000,4,33,50000,5.7,395.0,6
1,13600,4,3,60000,3.0,355.0,1
14,45000,4,3,27450,3.5,375.0,4
22,26315,4,28,36740,2.0,331.6983232435877,4
40,48000,4,27,31000,3.0,340.0,8
26,110000,5,33,21000,1.8,134.0,10
14,102000,4,15,27000,3.5,365.0,8
5,60000,4,33,24000,4.4,555.0,12
4,128000,4,42,13500,3.0,333.0,8
4,140200,1,33,9000,3.0,240.0,10
4,137273,4,33,23000,2.0,252.0,11
14,92500,4,33,19980,3.5,310.0,9
5,18000,4,27,64000,4.4,567.0,6
8,111000,4,33,15500,6.2,403.0,11
46,11322,4,35,11498,2.4,331.6983232435877,3
14,116157,4,33,9000,4.0,210.0,14
25,153843,4,15,9975,4.4,300.0,18
34,56000,4,21,47498,5.5,536.0,9
9,170000,4,33,4500,4.3,195.0,20
11,15167,4,33,10000,5.9,245.0,22
15,24900,4,33,44800,2.7,310.0,2
23,109580,4,15,9400,2.4,200.0,9
5,91491,4,27,14000,4.4,400.0,12
4,63450,4,33,18000,3.0,310.0,9
16,26000,4,27,53722,5.0,420.0,7
5,40000,4,42,34000,2.0,228.0,5
22,47500,4,33,31000,3.6,293.0,4
50,10832,4,28,28324,2.0,331.6983232435877,6
26,52100,4,15,38000,4.6,301.0,6
5,59000,4,42,19000,2.0,240.0,9
49,86000,4,33,43000,5.7,381.0,6
26,81200,4,27,28000,4.6,301.0,6
25,15107,4,28,57619,5.0,331.6983232435877,1
4,67072,4,33,34900,2.0,220.0,6
26,39000,4,33,25000,3.5,268.0,8
15,53433,4,15,51899,5.3,355.0,9
11,36500,4,33,7000,3.7,210.0,13
9,7900,4,19,47500,6.2,455.0,2
34,23900,4,31,41000,3.0,385.0,5
40,67000,4,21,22000,3.6,300.0,13
14,69548,4,4,42950,3.0,331.6983232435877,3
40,158000,4,33,5500,3.0,220.0,20
14,75600,4,33,14950,1.5,181.0,10
19,15500,4,19,50500,3.8,291.0,1
49,90625,4,33,2300,3.5,268.0,16
36,76500,4,11,28000,2.0,291.0,13
9,4000,4,19,50000,6.2,455.0,2
25,56000,4,33,49900,5.0,518.0,4
25,38671,4,31,35000,2.0,331.6983232435877,4
34,40950,4,42,39750,4.0,469.0,7
14,74582,4,15,23000,3.7,275.0,6
34,45203,4,32,49999,4.0,331.6983232435877,6
29,1800,4,15,46900,1.6,181.0,2
26,92861,4,9,12500,4.7,263.0,18
14,80081,4,33,12700,5.4,326.0,12
24,45014,4,15,41500,5.2,560.0,14
40,52000,4,42,55000,4.8,520.0,9
8,115872,4,27,17200,6.2,420.0,8
14,62500,4,15,27000,3.5,365.0,11
25,170000,4,15,6000,3.2,230.0,13
29,83500,4,19,6500,1.6,172.0,14
4,90818,4,33,7899,2.0,252.0,12
11,26881,4,28,30275,3.6,331.6983232435877,3
17,129999,4,19,7495,2.0,240.0,25
14,94500,4,42,29000,3.5,290.0,9
27,152000,4,15,6999,3.5,265.0,13
5,120000,4,15,6999,3.0,300.0,16
26,126700,4,15,14000,2.5,204.0,10
34,78101,4,21,34500,4.7,449.0,8
34,83315,4,42,19500,2.0,208.0,11
25,89000,4,33,24000,2.0,240.0,7
4,51300,4,27,24500,2.0,220.0,8
26,11563,5,36,11995,1.8,134.0,9
51,81200,4,42,20995,2.0,316.0,6
14,48000,1,15,51500,6.7,450.0,3
49,67400,4,33,41000,5.7,381.0,2
10,123000,3,9,15000,3.716927534611586,331.6983232435877,8
5,22500,4,42,58900,4.4,523.0,2
17,50000,4,19,24900,3.5,280.0,8
14,33812,4,33,38000,3.5,375.0,3
5,27000,4,27,48990,3.0,300.0,6
22,38100,4,19,21000,3.6,285.0,8
14,123500,4,15,11000,2.5,175.0,11
5,76000,4,42,41500,4.4,445.0,9
34,192000,4,21,11000,3.5,268.0,13
5,70582,4,27,15000,3.0,335.0,10
4,65000,4,42,33000,3.0,340.0,6
8,82900,4,27,18500,2.0,265.0,10
4,31000,4,33,28000,2.0,252.0,6
16,63500,4,42,32900,5.0,420.0,7
26,77300,4,15,41100,3.5,306.0,10
15,96343,1,31,28000,6.6,445.0,8
4,71273,4,21,19950,2.0,220.0,8
9,7458,4,27,51900,6.2,455.0,2
34,23083,4,42,33500,2.0,255.0,5
14,23850,1,3,56000,6.7,475.0,2
9,51338,4,33,47900,5.3,355.0,5
14,87500,4,3,35200,3.5,375.0,4
34,71962,4,22,41688,4.0,331.6983232435877,8
4,52500,4,42,39999,4.0,450.0,7
26,52100,4,15,32000,4.6,301.0,6
5,134602,4,42,13500,2.0,240.0,12
26,103866,5,33,16500,3.5,245.0,8
14,70000,4,15,26000,3.7,305.0,9
5,66690,4,42,24900,2.0,228.0,6
34,76474,4,21,51999,5.5,577.0,6
22,43000,4,33,46500,3.6,285.0,2
40,110000,4,42,9000,4.8,400.0,11
37,117000,4,33,9975,3.5,306.0,17
4,111564,4,15,11000,2.0,200.0,12
8,83000,4,15,14500,2.0,265.0,11
49,13828,5,36,24200,3.5,306.0,5
5,3213,4,27,20599,3.0,503.0,6
49,48210,4,16,30990,3.5,331.6983232435877,5
25,101800,2,33,17500,5.0,510.0,7
5,60000,4,42,55000,3.0,320.0,8
9,185000,4,33,8550,5.3,295.0,20
17,80000,4,33,14500,2.4,185.0,10
8,112465,4,33,10499,3.6,304.0,10
20,136000,4,42,11000,3.5,265.0,10
14,150000,4,33,29500,3.5,310.0,9
21,130000,4,9,14950,4.0,290.0,23
5,28399,4,42,44900,3.0,543.0,4
23,69487,4,33,32000,3.8,291.0,4
34,10500,4,42,28000,2.0,208.0,6
32,27836,4,28,36969,2.5,331.6983232435877,3
17,156350,4,33,7450,2.4,160.0,20
32,141775,4,11,6800,1.8,140.0,26
19,16200,4,33,4995,2.7,173.0,18
22,146000,4,33,15900,4.0,190.0,19
19,56910,4,15,37300,2.5,175.0,5
26,170000,4,33,8950,3.5,275.0,15
8,50000,4,27,29000,6.2,420.0,8
8,101453,2,15,30500,6.2,403.0,11
5,239000,4,33,7000,3.0,215.0,13
23,22101,4,34,23998,1.6,331.6983232435877,2
17,18500,4,15,29000,3.5,280.0,4
8,53500,4,27,28900,3.6,321.0,6
11,118000,4,33,12500,5.7,360.0,8
5,74000,4,42,26000,3.0,425.0,9
40,64600,4,42,42000,3.6,440.0,8
14,53401,4,3,33500,2.7,325.0,5
37,110750,4,42,16000,3.5,306.0,16
5,123500,4,15,10900,3.0,300.0,12
41,22457,4,34,41741,3.6,331.6983232435877,3
14,4200,4,3,22500,2.7,315.0,2
9,167000,4,33,8000,4.3,190.0,23
11,76500,4,39,5699,8.4,645.0,11
5,60000,4,19,25000,3.2,333.0,23
5,96000,4,19,8500,2.0,240.0,10
14,51354,4,15,19975,3.5,375.0,5
14,89352,4,42,21400,2.7,315.0,8
41,52000,1,15,42000,6.7,350.0,5
5,122600,4,27,12995,3.0,300.0,13
9,9200,4,42,35000,6.2,490.0,3
5,112000,4,42,24000,2.0,240.0,9
22,162482,4,15,10340,3.7,210.0,13
49,149000,4,33,17900,4.0,239.0,13
14,67650,4,3,36000,3.5,375.0,4
8,112000,4,27,35500,6.2,420.0,8
43,79000,4,33,30000,6.7,563.0,7
32,63850,4,11,16900,1.8,140.0,27
17,142314,4,19,35500,2.0,240.0,10
26,101387,4,33,28500,3.5,260.0,11
8,95570,2,33,23500,6.2,403.0,11
14,90000,4,9,9000,5.0,412.0,14
5,77000,4,27,42000,3.0,320.0,8
4,120000,4,33,16000,2.0,211.0,12
1,106335,4,42,14500,3.7,300.0,16
49,86000,4,33,13500,4.0,260.0,10
27,54000,4,33,47350,3.5,450.0,6
2,41000,4,42,51999,2.0,280.0,5
27,96000,4,15,12000,3.7,303.0,8
34,88000,2,21,16500,3.5,302.0,9
22,81200,4,27,26485,3.6,285.0,6
5,78007,4,42,14900,1.8,180.0,10
14,199296,4,15,19998,2.5,175.0,12
5,99769,4,27,18000,3.0,300.0,7
20,89106,4,42,30000,3.5,295.0,7
21,35134,4,15,18500,4.2,300.0,18
5,42000,4,27,38500,4.4,445.0,6
49,65000,4,15,43500,2.4,228.0,9
30,5200,4,33,21500,3.0,404.0,9
7,132272,4,33,5000,3.6,304.0,13
6,130000,4,33,2899,6.75,400.0,19
14,110000,5,33,6000,2.5,191.0,13
19,128000,4,19,11000,1.6,201.0,10
10,4700,3,31,45999,3.716927534611586,331.6983232435877,3
14,44000,1,3,44000,6.7,475.0,2
34,86300,4,33,15500,2.0,208.0,10
11,187000,4,33,6500,3.7,210.0,16
34,40000,4,31,57000,4.0,603.0,5
20,91239,4,33,17000,3.5,265.0,7
14,42728,4,33,46500,5.0,460.0,4
50,33850,4,15,16500,1.8,170.0,7
34,23151,4,21,39860,4.0,416.0,7
9,111228,2,15,10900,5.3,320.0,15
25,50000,4,15,50000,2.0,240.0,8
4,41000,5,27,49999,3.0,335.0,5
14,32000,2,33,39000,3.5,275.0,5
26,72900,4,15,22999,3.5,268.0,8
19,46000,4,27,50000,3.8,348.0,5
18,155500,4,33,5800,6.0,316.0,19
49,162000,4,7,7300,4.7,240.0,20
9,54500,1,15,37300,6.6,397.0,6
19,107000,5,15,16000,2.4,199.0,9
40,127000,3,42,20000,3.716927534611586,331.6983232435877,29
51,57550,4,42,37500,2.5,250.0,9
14,49990,4,19,21000,5.0,412.0,12
4,64549,4,42,19000,2.0,211.0,9
14,33080,4,3,42000,2.7,315.0,3
34,49899,4,31,59980,2.0,255.0,4
14,161900,2,33,3950,3.0,152.0,22
49,53677,4,27,24850,3.5,295.0,8
5,84709,4,27,13800,2.0,240.0,10
37,77000,4,42,19996,4.0,261.0,7
46,22227,4,35,35113,2.4,331.6983232435877,4
41,170000,4,33,5800,5.7,345.0,18
34,14381,4,32,44249,4.0,331.6983232435877,3
4,70773,4,27,61599,3.0,280.0,9
14,61874,4,4,47995,3.5,331.6983232435877,3
14,7388,4,4,54999,3.5,331.6983232435877,3
9,12500,4,42,24000,6.2,490.0,3
34,134000,4,33,11900,3.5,268.0,13
49,138000,4,33,5100,3.3,225.0,20
14,69000,4,9,20000,4.6,315.0,14
49,157000,4,42,9000,4.0,270.0,14
4,25300,4,21,40000,2.0,188.0,9
49,112180,5,36,8900,2.5,208.0,10
11,172024,4,7,7500,3.7,210.0,14
34,81696,1,9,15900,3.0,188.0,12
14,53550,4,4,35690,2.3,331.6983232435877,5
9,110000,4,33,6000,3.0,264.0,13
43,16500,4,27,39900,6.6,563.0,7
50,35340,4,33,23900,2.0,174.0,5
23,49700,4,33,19900,3.3,365.0,7
9,7500,4,33,47000,6.2,455.0,2
22,162100,4,15,7500,2.4,180.0,11
9,13700,4,33,45000,6.2,490.0,3
9,98000,4,15,12500,3.6,323.0,7
5,91420,4,42,11900,3.0,215.0,13
4,87500,4,42,18500,2.0,211.0,8
5,18000,4,27,45000,4.4,600.0,6
14,115000,4,33,29000,3.5,290.0,7
5,27965,4,21,45000,4.4,560.0,6
40,64800,4,21,18000,3.8,400.0,10
5,63150,4,33,16000,2.0,248.0,7
20,58880,4,27,21000,3.7,328.0,11
14,107000,2,15,30000,5.0,395.0,8
14,248000,2,33,16500,5.4,255.0,7
5,122600,4,11,12900,2.5,215.0,12
34,90189,4,33,17000,2.0,241.0,9
14,22300,4,33,28300,2.7,325.0,4
34,73500,4,21,20990,2.0,241.0,8
40,74000,4,33,25500,3.6,300.0,6
17,190640,4,11,2000,1.8,140.0,16
22,47907,4,28,40368,5.7,331.6983232435877,2
9,44800,4,15,52500,6.2,420.0,7
7,81880,4,16,22495,2.0,331.6983232435877,7
34,83112,4,21,17700,3.5,268.0,9
14,67072,4,33,29900,3.5,440.0,3
9,231500,4,33,35000,5.3,355.0,6
50,48210,4,42,24999,3.6,276.0,7
40,29136,4,21,64800,3.0,331.6983232435877,6
11,118000,4,33,5900,3.7,210.0,17
