,brand,milage,fuel_type,transmission,price,horsepower,engine_displacement,age
155,Honda,54000,Gasoline,M/T,15363,2.0,240.0,20
156,Mercedes-Benz,93000,Gasoline,A/T,11999,5.5,493.0,17
157,Lincoln,42000,Gasoline,5-Speed A/T,15999,3.9,252.0,22
158,BMW,48000,Gasoline,8-Speed A/T,41995,3.0,335.0,5
159,Toyota,269885,Gasoline,6-Speed A/T,47500,5.7,381.0,12
160,BMW,87248,Gasoline,A/T,22999,3.0,300.0,11
161,Hummer,106000,Gasoline,6-Speed A/T,15000,3.7,242.0,18
162,Dodge,134602,Gasoline,A/T,4500,3.5,250.0,19
163,Dodge,134000,Gasoline,A/T,13500,3.7,210.0,16
164,Toyota,89400,Gasoline,A/T,26900,5.7,381.0,14
165,Kia,11100,Gasoline,Transmission w/Dual Shift Mode,40200,2.5,281.0,1
166,Jeep,52000,Gasoline,6-Speed A/T,17500,2.4,180.0,7
167,Mercedes-Benz,45000,Gasoline,A/T,54500,4.0,416.0,4
168,BMW,15000,Hybrid,8-Speed A/T,59000,3.0,335.0,2
169,Audi,102370,Gasoline,A/T,34500,3.0,333.0,7
170,Buick,68750,Gasoline,A/T,32500,2.5,197.0,5
171,Jeep,72843,Gasoline,5-Speed A/T,31599,3.6,285.0,8
174,Lexus,12055,Gasoline,A/T,42999,3.5,295.0,2
175,Mazda,61874,Gasoline,6-Speed Automatic,41927,2.5,331.6983232435877,3
177,Mercedes-Benz,149465,Gasoline,7-Speed A/T,18800,5.5,382.0,19
178,Ford,17300,Gasoline,A/T,45000,2.3,310.0,3
179,Buick,18185,Gasoline,9-Speed Automatic,43250,2.5,331.6983232435877,3
180,GMC,107000,Gasoline,A/T,11900,3.5,270.0,9
181,Audi,72865,Gasoline,Transmission w/Dual Shift Mode,54900,3.0,349.0,6
182,Audi,50000,Gasoline,8-Speed A/T,26999,2.0,248.0,5
184,RAM,51105,Gasoline,8-Speed Automatic,38880,5.7,331.6983232435877,4
186,Chevrolet,215000,Gasoline,A/T,21500,5.3,355.0,8
187,Dodge,114000,Gasoline,A/T,10700,5.7,345.0,14
188,Honda,83765,Gasoline,6-Speed M/T,22450,2.0,240.0,14
189,Jeep,24850,Gasoline,A/T,50000,3.6,285.0,2
190,Toyota,67400,E85 Flex Fuel,A/T,29500,5.7,381.0,8
191,Audi,24500,Gasoline,8-Speed A/T,38000,2.0,248.0,3
192,Audi,67900,Hybrid,Transmission w/Dual Shift Mode,37500,3.0,335.0,7
193,RAM,26177,Gasoline,A/T,47500,5.7,395.0,5
194,Chevrolet,8660,Gasoline,8-Speed A/T,45000,6.2,455.0,5
195,Subaru,122000,Gasoline,5-Speed M/T,14999,2.5,210.0,10
196,Chevrolet,58800,Gasoline,A/T,10000,5.7,310.0,22
197,Ford,63250,Gasoline,6-Speed A/T,18650,3.9,280.0,10
198,Land,119000,Gasoline,6-Speed A/T,12500,3.0,340.0,12
199,Porsche,67522,Gasoline,A/T,51500,3.4,350.0,8
200,Chevrolet,61000,Gasoline,8-Speed A/T,53000,6.2,455.0,7
201,Kia,10101,Plug-In Hybrid,6-Speed A/T,27900,1.6,261.0,4
202,Nissan,27598,Gasoline,9-Speed Automatic,49273,5.6,331.6983232435877,3
203,BMW,41000,Hybrid,8-Speed A/T,57999,3.0,335.0,3
204,Chevrolet,11250,Gasoline,6-Speed M/T,30000,6.2,455.0,7
205,Mercedes-Benz,35400,Gasoline,7-Speed A/T,26900,5.0,302.0,20
206,BMW,44000,Gasoline,Transmission w/Dual Shift Mode,44900,3.0,425.0,9
207,Lexus,110000,Gasoline,A/T,15000,3.5,272.0,15
210,Jeep,144770,Gasoline,4-Speed A/T,6500,3.8,202.0,16
211,Jeep,8794,Gasoline,A/T,63000,3.6,285.0,2
212,BMW,38000,Gasoline,Transmission w/Dual Shift Mode,34500,2.0,240.0,9
213,Mercedes-Benz,47400,Gasoline,7-Speed A/T,23900,6.3,518.0,10
214,Ford,66281,Diesel,10-Speed A/T,64900,6.7,450.0,6
215,BMW,126000,Gasoline,A/T,12700,3.0,326.0,12
216,INFINITI,50000,Gasoline,6-Speed M/T,26800,3.7,328.0,23
217,BMW,37000,Gasoline,8-Speed A/T,50000,3.0,335.0,4
218,Volvo,60000,Gasoline,8-Speed A/T,40750,2.0,316.0,6
219,Mercedes-Benz,90400,Gasoline,5-Speed A/T,10199,4.7,335.0,17
220,MINI,136500,Gasoline,6-Speed A/T,5999,1.6,181.0,13
221,Lexus,132000,Gasoline,6-Speed A/T,17000,4.3,278.0,18
222,Audi,87500,Gasoline,A/T,17900,2.0,211.0,10
223,Audi,118500,Gasoline,A/T,5800,2.0,220.0,6
224,Mazda,80124,Gasoline,6-Speed Automatic,21373,2.5,331.6983232435877,6
227,Honda,169802,Gasoline,A/T,5200,1.8,140.0,17
229,Mercedes-Benz,90400,Gasoline,A/T,17000,4.7,335.0,11
230,BMW,58600,Gasoline,8-Speed A/T,36500,3.0,335.0,5
231,Mercedes-Benz,121000,Gasoline,5-Speed A/T,40999,5.0,302.0,21
232,BMW,34300,Gasoline,8-Speed A/T,29998,4.4,445.0,7
233,Ford,63460,Gasoline,6-Speed M/T,25215,5.0,435.0,10
234,BMW,62500,Gasoline,Transmission w/Dual Shift Mode,28000,3.0,425.0,9
235,Buick,51351,Gasoline,9-Speed Automatic,33295,3.6,331.6983232435877,3
236,Porsche,50000,Gasoline,Transmission w/Dual Shift Mode,32000,3.6,400.0,8
237,Audi,71280,Gasoline,8-Speed A/T,17999,3.0,340.0,8
239,Toyota,169000,Gasoline,6-Speed A/T,6500,2.0,200.0,16
241,Chevrolet,139000,Gasoline,6-Speed M/T,5199,3.6,312.0,13
242,Cadillac,71962,Gasoline,8-Speed Automatic,26600,3.6,331.6983232435877,6
243,Kia,41000,Gasoline,A/T,42500,4.0,261.0,3
244,Mercedes-Benz,67800,Gasoline,7-Speed A/T,19500,3.5,268.0,8
245,Audi,30000,Hybrid,Transmission w/Dual Shift Mode,48000,3.0,335.0,3
246,Land,29500,Gasoline,A/T,34900,2.0,247.0,5
247,Audi,33000,Hybrid,A/T,59900,3.0,335.0,4
248,Mercedes-Benz,2284,Gasoline,9-Speed Automatic,44999,2.0,331.6983232435877,2
250,Mercedes-Benz,64549,Gasoline,7-Speed A/T,22500,3.5,248.0,11
251,BMW,89000,Gasoline,A/T,12800,3.0,300.0,10
252,Ford,61773,Gasoline,10-Speed A/T,44700,3.5,400.0,6
253,Ford,207100,Gasoline,A/T,4199,4.6,292.0,19
254,Mercedes-Benz,59700,Gasoline,7-Speed A/T,29000,5.5,382.0,13
255,Acura,116000,Gasoline,Transmission w/Dual Shift Mode,11500,2.4,201.0,14
256,RAM,44000,Gasoline,8-Speed A/T,46500,5.7,395.0,3
257,Dodge,7751,Gasoline,Transmission w/Dual Shift Mode,46000,5.7,370.0,3
258,Ford,53782,Gasoline,Transmission w/Dual Shift Mode,48000,5.0,460.0,6
259,Chevrolet,56000,Gasoline,Transmission w/Dual Shift Mode,44800,6.0,400.0,14
260,Porsche,91140,Gasoline,7-Speed A/T,17900,2.5,350.0,8
261,Toyota,24915,Gasoline,6-Speed Automatic,13715,3.5,331.6983232435877,10
262,Toyota,35000,Gasoline,Transmission w/Dual Shift Mode,17500,2.7,159.0,11
263,Chevrolet,26000,Gasoline,6-Speed A/T,32000,5.3,355.0,7
264,Jeep,33060,Gasoline,8-Speed A/T,47500,3.6,285.0,4
265,BMW,71280,Gasoline,A/T,15900,3.0,300.0,11
266,Nissan,27989,Gasoline,CVT Transmission,29500,1.6,188.0,12
267,Land,18000,Gasoline,Transmission w/Dual Shift Mode,48000,5.0,575.0,6
268,Nissan,145000,Gasoline,A/T,7850,3.5,284.0,7
269,Jeep,141485,Gasoline,A/T,6500,3.7,210.0,15
273,BMW,110000,Gasoline,6-Speed A/T,9400,3.0,230.0,13
274,INFINITI,110000,Gasoline,Transmission w/Dual Shift Mode,11000,3.5,306.0,9
275,Jeep,185000,Gasoline,A/T,7100,2.4,180.0,8
276,Cadillac,48613,Gasoline,8-Speed A/T,55999,6.2,420.0,4
277,Lexus,102000,Gasoline,Transmission w/Dual Shift Mode,38500,4.6,380.0,16
278,Audi,87500,Gasoline,6-Speed A/T,27995,2.0,220.0,8
279,Maserati,53500,Gasoline,8-Speed A/T,35999,3.0,404.0,6
280,Scion,95426,Gasoline,A/T,6500,2.4,158.0,15
282,BMW,104000,Gasoline,8-Speed A/T,20900,3.0,300.0,12
283,MINI,128000,Gasoline,6-Speed A/T,7500,1.6,181.0,12
284,BMW,125500,Gasoline,6-Speed A/T,12000,2.0,240.0,9
285,Chevrolet,44800,Gasoline,A/T,51500,5.3,355.0,5
286,Porsche,97500,Gasoline,A/T,16999,4.8,400.0,10
287,Chevrolet,53100,Gasoline,A/T,14900,2.4,169.0,15
288,Mercedes-Benz,115000,Gasoline,Transmission w/Dual Shift Mode,29000,4.6,429.0,11
290,Mercedes-Benz,83112,Gasoline,9-Speed A/T,17999,3.5,302.0,7
291,Volkswagen,102750,Gasoline,6-Speed M/T,17999,2.0,292.0,11
292,Ford,81648,Gasoline,10-Speed Automatic,28991,3.5,331.6983232435877,6
293,Audi,69700,Gasoline,8-Speed A/T,19500,2.0,211.0,12
294,Chevrolet,57800,Gasoline,6-Speed A/T,17900,6.0,345.0,18
295,Hyundai,45303,Gasoline,6-Speed M/T,19500,3.8,306.0,14
296,Chevrolet,12500,Gasoline,Transmission w/Dual Shift Mode,54000,6.2,490.0,3
297,Lexus,67645,Gasoline,6-Speed A/T,59500,4.6,301.0,6
298,Mercedes-Benz,76850,Gasoline,7-Speed A/T,42800,4.7,429.0,10
301,Jeep,23588,Gasoline,8-Speed Automatic,26772,3.6,331.6983232435877,3
302,Land,152000,Gasoline,6-Speed A/T,6500,3.2,230.0,16
303,Ford,161000,E85 Flex Fuel,6-Speed A/T,17500,3.5,290.0,7
304,GMC,79615,E85 Flex Fuel,A/T,28000,6.0,342.0,12
305,Mitsubishi,16000,Gasoline,4-Speed A/T,6500,3.0,200.0,23
306,Porsche,60000,Gasoline,Transmission w/Dual Shift Mode,19500,4.8,400.0,11
307,Subaru,133300,Gasoline,CVT Transmission,3000,2.5,175.0,13
308,Lexus,103748,Gasoline,8-Speed A/T,17000,4.6,386.0,9
309,Cadillac,8044,Gasoline,6-Speed A/T,41927,6.2,420.0,3
310,Chevrolet,87500,Gasoline,A/T,20000,5.3,300.0,17
311,Audi,34068,Hybrid,Transmission w/Dual Shift Mode,46900,3.0,335.0,5
312,Land,58000,Gasoline,Transmission w/Dual Shift Mode,25000,3.0,380.0,6
313,GMC,162731,Gasoline,A/T,24995,5.3,355.0,8
315,Cadillac,134000,Gasoline,8-Speed A/T,32999,6.2,420.0,7
316,Ford,55000,Diesel,6-Speed A/T,40500,6.7,450.0,5
317,Chevrolet,153000,E85 Flex Fuel,6-Speed A/T,18000,5.3,320.0,12
318,BMW,10376,Gasoline,Transmission w/Dual Shift Mode,33600,4.4,567.0,2
319,BMW,74000,Gasoline,5-Speed M/T,4800,2.5,184.0,21
321,Land,35580,Gasoline,8-Speed Automatic,49500,5.0,331.6983232435877,6
323,BMW,69000,Gasoline,8-Speed A/T,30999,3.0,300.0,6
324,Lexus,41000,Gasoline,A/T,56000,3.5,295.0,3
325,Audi,29000,Gasoline,8-Speed A/T,42900,2.0,248.0,3
326,Ford,24000,Gasoline,6-Speed A/T,21500,3.5,365.0,10
327,Porsche,46000,Gasoline,Transmission w/Dual Shift Mode,50000,3.8,400.0,10
328,Ford,148949,Gasoline,A/T,3900,3.5,263.0,26
329,Audi,96273,Gasoline,A/T,13500,2.0,200.0,9
330,Ford,95000,Gasoline,A/T,12000,4.0,210.0,17
331,Chevrolet,13465,Gasoline,8-Speed A/T,36500,6.2,455.0,7
333,Ford,92671,Diesel,6-Speed A/T,32300,6.7,440.0,8
334,Chevrolet,20800,Gasoline,6-Speed A/T,19000,1.4,138.0,4
335,Lexus,97724,Hybrid,A/T,12995,3.5,306.0,13
336,Mercedes-Benz,156350,Gasoline,A/T,8950,4.7,402.0,10
338,BMW,12088,Gasoline,8-Speed A/T,37500,3.0,503.0,3
339,RAM,61802,Gasoline,8-Speed A/T,45900,5.7,395.0,5
340,BMW,9000,Gasoline,8-Speed A/T,50000,3.0,503.0,2
341,Nissan,227010,Gasoline,5-Speed A/T,4500,4.0,236.0,16
342,Mercedes-Benz,46000,Gasoline,7-Speed A/T,54000,2.0,188.0,6
343,Land,55900,Gasoline,Transmission w/Dual Shift Mode,42000,3.0,340.0,5
344,Chevrolet,98527,Gasoline,A/T,5990,5.3,300.0,17
346,Lexus,119000,Gasoline,6-Speed A/T,13000,3.5,306.0,14
347,Maserati,125800,Gasoline,Transmission w/Dual Shift Mode,22500,4.2,394.0,21
348,MINI,63250,Gasoline,4-Speed A/T,14995,1.6,115.0,23
349,GMC,169000,Gasoline,A/T,12500,3.5,270.0,13
351,GMC,93000,Gasoline,A/T,30000,5.3,355.0,8
352,Jeep,17000,Gasoline,8-Speed A/T,56000,3.6,285.0,3
353,Dodge,95000,Gasoline,8-Speed A/T,17900,5.7,370.0,10
354,Ford,44460,Gasoline,10-Speed A/T,30990,2.7,325.0,4
355,BMW,27300,Gasoline,8-Speed A/T,30000,4.4,445.0,5
356,Ford,51351,Gasoline,6-Speed Automatic,34084,3.0,331.6983232435877,5
357,Land,59271,Gasoline,8-Speed A/T,35750,3.0,380.0,5
358,Honda,19500,Gasoline,A/T,28500,3.5,280.0,4
359,Mercedes-Benz,15000,Hybrid,9-Speed A/T,35899,3.0,429.0,2
360,Mazda,72000,Gasoline,Transmission w/Dual Shift Mode,18900,2.0,155.0,9
361,Volkswagen,136000,Gasoline,A/T,9999,2.0,200.0,12
362,Chevrolet,59500,Gasoline,Transmission w/Dual Shift Mode,24995,3.6,323.0,7
363,Cadillac,66000,Gasoline,A/T,14900,2.5,202.0,8
364,Toyota,61454,Gasoline,8-Speed A/T,31000,3.5,295.0,4
365,BMW,239000,Gasoline,5-Speed A/T,6000,2.5,170.0,24
366,Toyota,71000,Gasoline,A/T,15500,4.0,270.0,8
367,Land,65680,Gasoline,Transmission w/Dual Shift Mode,34900,2.0,247.0,8
368,Mercedes-Benz,51133,Gasoline,9-Speed Automatic,39848,2.0,331.6983232435877,6
369,BMW,24650,Gasoline,A/T,50000,4.4,445.0,6
370,BMW,41000,Gasoline,8-Speed A/T,50000,4.4,600.0,5
371,Subaru,92861,Gasoline,A/T,9500,2.0,200.0,11
372,Mercedes-Benz,79876,Gasoline,Transmission w/Dual Shift Mode,40999,5.5,536.0,13
373,Chevrolet,66840,Gasoline,A/T,10500,5.3,303.0,20
374,Chevrolet,14700,Gasoline,6-Speed M/T,27000,6.2,455.0,2
375,Mercedes-Benz,1500,Gasoline,9-Speed A/T,46900,3.0,385.0,3
376,Ford,33818,Gasoline,Automatic,45861,2.7,331.6983232435877,3
377,Hyundai,113000,Gasoline,6-Speed A/T,11250,2.4,185.0,9
379,Mercedes-Benz,93000,Gasoline,A/T,16500,4.6,335.0,12
380,Jeep,17000,Gasoline,8-Speed A/T,39500,3.6,293.0,2
382,Mercedes-Benz,41500,Gasoline,9-Speed A/T,41500,4.0,603.0,8
384,Lamborghini,24781,Gasoline,8-Speed Automatic,38532,4.0,331.6983232435877,3
387,Chevrolet,153843,Gasoline,A/T,6750,5.7,340.0,16
388,Volkswagen,50000,Gasoline,A/T,53000,2.8,174.0,21
389,Volvo,89700,Gasoline,6-Speed A/T,16500,3.2,240.0,11
390,Suzuki,99982,Gasoline,M/T,12000,2.0,150.0,11
391,Ferrari,9005,Gasoline,7-Speed DCT Automatic,44999,3.9,331.6983232435877,5
392,Cadillac,152000,Gasoline,A/T,10600,3.6,304.0,12
393,Maserati,76000,Gasoline,A/T,29000,3.0,404.0,9
394,Alfa,26500,Gasoline,8-Speed A/T,47500,2.9,505.0,5
395,Jeep,8400,Gasoline,8-Speed A/T,53000,3.6,285.0,2
396,Cadillac,93000,Gasoline,A/T,20500,6.2,403.0,7
397,Ford,35999,Gasoline,10-Speed A/T,35999,5.0,460.0,4
398,Land,49208,Gasoline,A/T,25000,3.0,340.0,6
399,Nissan,110000,Gasoline,Transmission w/Dual Shift Mode,6000,3.5,290.0,12
400,Hyundai,60000,Gasoline,A/T,9500,3.8,344.0,11
401,Jeep,161900,E85 Flex Fuel,A/T,9950,4.7,235.0,17
402,BMW,220450,Gasoline,5-Speed A/T,3850,3.5,263.0,16
403,Mercedes-Benz,76857,Gasoline,7-Speed A/T,14900,4.7,429.0,12
404,GMC,13500,Gasoline,10-Speed A/T,37500,6.2,420.0,2
405,Lexus,110000,Gasoline,6-Speed A/T,17500,5.0,467.0,9
407,Mercedes-Benz,171000,Gasoline,A/T,4750,6.2,518.0,15
408,Lincoln,71964,Gasoline,6-Speed A/T,30000,2.0,240.0,8
409,RAM,32000,Gasoline,A/T,50000,5.7,395.0,6
410,Acura,13600,Gasoline,10-Speed A/T,60000,3.0,355.0,1
411,Ford,45000,Gasoline,10-Speed A/T,27450,3.5,375.0,4
412,Jeep,26315,Gasoline,8-Speed Automatic,36740,2.0,331.6983232435877,4
413,Porsche,48000,Gasoline,8-Speed A/T,31000,3.0,340.0,8
414,Lexus,110000,Hybrid,A/T,21000,1.8,134.0,10
415,Ford,102000,Gasoline,6-Speed A/T,27000,3.5,365.0,8
416,BMW,60000,Gasoline,A/T,24000,4.4,555.0,12
417,Audi,128000,Gasoline,Transmission w/Dual Shift Mode,13500,3.0,333.0,8
418,Audi,140200,Diesel,A/T,9000,3.0,240.0,10
